Product Code,Description,Manufacturer_SKU,Unit Qty,Weight per piece,product_line,category,color
FTFE26CB14BS,"1"" Fortress Fe26 Collar BRKT (4pcs) Black Sand",53504028A,22,0.85995,FE26,Fittings,BKSND
FTFE26CB14GB,"1"" Fortress Fe26 Collar BRKT (4pcs) Gloss Black",650037A,22,0.85995,FE26,Fittings,GBLK
FTFE26CB14zABS,"1"" Fortress Fe26 Collar ADJ BRKT (4pcs) Black Sand",53504038A,16,1.43325,FE26,Fittings,BKSND
FTFE26CB14zASBS,"1"" Fortress Fe26 Collar ADJ Stair BRKT (4pcs) Black Sand",53504048A,16,1.43325,FE26,Fittings,BKSND
FTFE26CB14zASGB,"1"" Fortress Fe26 Collar ADJ Stair BRKT (4pcs) Gloss Black",650048A,16,1.43325,FE26,Fittings,GBLK
FTFE26CRC14BS,"1.25"" Fortress Fe26 Cap Rail Clip (4pcs) Black Sand",57505058,25,0.9261,FE26,Hardware,BKSND
FTFE26CRC4ABZ,"1"" Fortress Fe26 Cap Rail Clip (4pcs) Antique Bronze",53504056,25,0.9261,FE26,Hardware,ABZ
FTFE26CRC4BS,"1"" Fortress Fe26 Cap Rail Clip (4pcs) Black Sand",53504058,25,0.9261,FE26,Hardware,BKSND
FTFE26CRC4GB,"1"" Fortress FE26 Cap Rail Clip (4pcs) Gloss Black",640185,25,0.93,FE26,Hardware,GBLK
FTFE26G40ABS,"40""x34.5"" Fortress FE26 Gate Axis Horizontal Black Sand",53040358,4,25.3,FE26,Gate,BKSND
FTFE26G40BS,"40""x34.5"" Fortress FE26 Gate Black Sand",53140358,4,22.05,FE26,Gate,BKSND
FTFE26G40UBS,"40"" Fortress Fe26 Gate Uprights (2pcs) Black Sand",53540058,4,9.46,FE26,Gate,BKSND
FTFE26GU38ABZ,"38"" Fortress FE26 Gate Uprights (2pcs) Antique Bronze",53138056,4,8.82,FE26,Gate,ABZ
FTFE26GU38BS,"38"" Fortress FE26 Gate Uprights (2pcs) Black Sand",53138058,4,8.82,FE26,Gate,BKSND
FTFE26GU38GB,"38"" Fortress FE26 Gate Uprights (2pcs) Gloss Black",53138050,4,9.3,FE26,Gate,GBLK
FTFE26HSCR344BS,"34""x4' Fortress H-Series Rail CR-Horizontal Black Sand",57134418,30,51.97185,Cable Rail,Infill,BKSND
FTFE26HSCR346BS,"34""x6' Fortress H-Series Rail CR-Horizontal Black Sand",57134618,30,53.1405,Cable Rail,Infill,BKSND
FTFE26HSCR348BS,"34""x8' Fortress H-Series Rail CR-Horizontal Black Sand",57134818,30,57.33,Cable Rail,Infill,BKSND
FTFE26HSCR404BS,"40""x4' Fortress H-Series Rail CR-Horizontal Black Sand",57140418,30,57.33,Cable Rail,Infill,BKSND
FTFE26HSCR406BS,"40""x6' Fortress H-Series Rail CR-Horizontal Black Sand",57140618,30,56.1834,Cable Rail,Infill,BKSND
FTFE26HSCR408BS,"40""x8' Fortress H-Series Rail CR-Horizontal Black Sand",57140818,30,60.7698,Cable Rail,Infill,BKSND
FTFE26HSCR40GBS,"40""x34.5"" Fortress H-Series Gate CR-Horizontal Black Sand",57540498,1,47.69415,Cable Rail,Gate,
FTFE26HSCRISBS,Fortress H-Series CR-Horizontal I-Support Black Sand,57504248,25,0.46305,Cable Rail,Fittings,BKSND
FTFE26HSCRISSBS,Fortress H-Series CR-Horizontal I-Support Stair Black Sand,57505248,25,0.68355,Cable Rail,Fittings,BKSND
FTFE26HSCRS348BS,"34""x8' Fortress H-Series CR-Horizontal Stair Black Sand",57234088,30,59.535,Cable Rail,Infill,BKSND
FTFE26HSCRS408BS,"40""x8' Fortress H-Series CR-Horizontal Stair Black Sand",57240088,30,63.063,Cable Rail,Infill,BKSND
FTFE26HSCRWC,Fortress H-Series CR-Horizontal Wire Cutters,57500000,1,1.5,Cable Rail,Hardware,
FTFE26P245ABZ,"2""x45.5"" Fortress FE26 Post w/Base Cover Antique Bronze",53302476,90,11.35575,FE26,Post,ABZ
FTFE26P245BS,"2""x45.5"" Fortress FE26 Post w/Base Cover Black Sand",53302478,90,11.35575,FE26,Post,BKSND
FTFE26P245GB,"2""x45.5"" Fortress FE26 Post w/Base Cover Gloss Black",53302470,90,11.35575,FE26,Post,GBLK
FTFE26P255ABZ,"2""x55"" Fortress FE26 Post Antique Bronze",53355156,50,11.8188,FE26,Post,ABZ
FTFE26P255BS,"2""x55"" Fortress FE26 Post Black Sand",53355158,50,11.8188,FE26,Post,BKSND
FTFE26P255GB,"2""x55"" Fortress FE26 Post Gloss Black",53355150,50,11.8188,FE26,Post,GBLK
